index,label,name,x,y,z,yaw_rad,radius_m,nearest_distance_m,nearest_x,nearest_y,nearest_z,nearest_time_sec,nearest_actual_yaw_rad,nearest_yaw_error_rad,active_nearest_distance_m,metric_3_6_error_ratio,metric_3_6_pass,metric_3_9_final_error_ratio,route_position_pass,status,finalized,finalize_reason
0,P0,p0_h_midair_start,55.0,16.0,10.0,0.46992794268653587,4.0,0.031770584111707176,55.004852294921875,15.998218536376953,10.031347274780273,31.32,0.4651587861710079,-0.004769156515528117,0.05537279724221748,,,,True,pending,False,
1,P1,p1_o3_reference_behind,96.459,37.056,10.0,1.1541869962670872,5.5,0.10109449050535249,96.51200866699219,37.00482940673828,10.069222450256348,51.856,0.9569788224898034,-0.19720817377728395,1.2450745268236687,0.002174098282787587,True,,True,pending,False,
2,P2,p2_o3_front_offset,101.42,48.267,10.0,-0.4419714061928211,5.5,0.36430547286183024,101.53645324707031,47.933326721191406,10.08842658996582,57.02,0.4594218426101685,0.9013932488029894,2.0317385600529723,0.029715909986438215,True,,True,pending,False,
3,P3,p3_o4_reference_behind_mirror,110.279,44.075,10.0,-0.2144314581886176,5.5,0.43739072496981873,110.46395874023438,44.46302032470703,10.080877304077148,61.156,-0.3557685197832993,-0.14133706159468185,2.4100087075965164,0.04462828087600132,True,,True,pending,False,
4,P4,p4_o4_front_offset_mirror,122.259,41.466,10.0,0.291701595120102,5.5,0.5665157198837838,122.32518768310547,42.02493667602539,10.064413070678711,66.12,-0.17709158657243582,-0.4687931816925377,2.1855724225186517,0.04620543509492568,True,,True,pending,False,
5,P5,p5_white_wind_channel_w1_station,156.735,51.818,10.0,-0.5702146368530341,6.0,0.39428471815796895,156.77833557128906,51.42917251586914,10.048945426940918,79.056,0.3196906932268906,0.8899053300799249,2.0751820834806662,0.01095337395428754,True,,True,pending,False,
6,P6,p6_white_wind_channel_w3_station,189.077,31.078,10.0,-1.4758074910859034,6.0,0.15075573558442174,188.9639892578125,31.02150535583496,10.082244873046875,93.088,-1.1660501306800315,0.30975736040587165,1.9217011129727153,0.003923812275204582,True,,True,pending,False,
7,P7,p7_red_bridge_center_normal,196.827,-50.265,10.0,-0.9675692314376662,5.5,0.16698062118077617,196.6822509765625,-50.3211669921875,10.061445236206055,121.752,-0.9512700002766388,0.016299231161027272,1.091898270807103,0.0020435423389396903,True,,True,pending,False,
8,P8,p8_cargo_one_meter_finish,238.24,-110.381,10.0,2.174023422152127,1.0,0.6275257209985874,237.7530517578125,-109.9857406616211,10.020976066589355,147.252,-0.7849402923434496,-2.9589637144955767,0.6275257209985874,,,0.0020246083053424664,True,current,True,final_hold_reached
